season,game_date,home_team,away_team,pitch_type_counts,speed_bucket_counts,avg_release_speed,max_release_speed,total_pitches
2023,2023-03-30,BOS,BAL,"{'FF': 112, 'SI': 61, 'FC': 47, 'CH': 36, 'ST': 29, 'CU': 27, 'SL': 22, 'FS': 10}","{'80-90': 182, '90-100': 144, '<80': 18}",88.38924418604651,99.6,344
2023,2023-03-30,CHC,MIL,"{'FC': 60, 'SI': 51, 'FF': 43, 'SL': 34, 'SV': 23, 'CH': 17, 'CU': 13, 'FS': 9, 'ST': 7}","{'90-100': 136, '80-90': 113, '<80': 8}",89.59533073929961,98.6,257
2023,2023-03-30,CIN,PIT,"{'FF': 123, 'FC': 58, 'SL': 45, 'SI': 35, 'CU': 25, 'ST': 24, 'CH': 19, 'FS': 14}","{'90-100': 174, '80-90': 104, '100+': 44, '<80': 20, 'Unknown': 1}",91.07894736842105,102.1,343
2023,2023-03-30,HOU,CWS,"{'SL': 73, 'FF': 64, 'SI': 64, 'CU': 28, 'KC': 22, 'CH': 17, 'ST': 11, 'FS': 7}","{'90-100': 141, '80-90': 113, '<80': 25, '100+': 7}",89.93181818181819,100.8,286
2023,2023-03-30,KC,MIN,"{'FF': 74, 'SL': 48, 'SI': 44, 'CU': 40, 'ST': 28, 'CH': 28, 'FC': 18, 'FS': 2, 'KC': 1}","{'80-90': 132, '90-100': 113, '<80': 28, '100+': 10}",88.57632508833922,102.6,283
2023,2023-03-30,LAD,AZ,"{'FF': 121, 'SL': 48, 'CH': 28, 'SV': 24, 'KC': 18, 'FC': 17, 'ST': 8, 'SI': 6, 'FS': 2}","{'90-100': 138, '80-90': 118, '<80': 16}",88.69448529411765,99.8,272
2023,2023-03-30,MIA,NYM,"{'FF': 88, 'SL': 73, 'CH': 44, 'SI': 39, 'FC': 31, 'CU': 11, 'KC': 4, 'ST': 4}","{'90-100': 168, '80-90': 115, '<80': 11}",90.36428571428571,99.5,294
2023,2023-03-30,NYY,SF,"{'FF': 104, 'CH': 65, 'SI': 50, 'SL': 32, 'ST': 21, 'KC': 4}","{'90-100': 151, '80-90': 118, '<80': 7}",90.23949275362318,99.5,276
2023,2023-03-30,OAK,LAA,"{'FF': 98, 'SL': 77, 'ST': 46, 'CH': 24, 'CU': 22, 'FS': 13, 'SI': 5, 'FC': 5}","{'80-90': 163, '90-100': 103, '<80': 23, '100+': 1}",87.44655172413793,100.7,290
2023,2023-03-30,SD,COL,"{'FF': 134, 'SL': 53, 'SI': 50, 'CH': 29, 'ST': 18, 'CU': 18, 'KC': 14, 'FC': 4}","{'90-100': 184, '80-90': 122, '<80': 14}",90.873125,98.7,320
2023,2023-03-30,SEA,CLE,"{'FF': 99, 'SL': 54, 'FC': 32, 'SI': 29, 'CH': 16, 'KC': 11, 'CU': 3, 'ST': 3, 'FS': 3}","{'90-100': 125, '80-90': 123, '100+': 1, '<80': 1}",90.16839999999999,100.6,250
2023,2023-03-30,STL,TOR,"{'FF': 131, 'SL': 106, 'SI': 82, 'CU': 35, 'CH': 13, 'FS': 8, 'FC': 6, 'ST': 3}","{'90-100': 195, '80-90': 134, '<80': 38, '100+': 17}",89.99895833333333,103.8,384
2023,2023-03-30,TB,DET,"{'FF': 116, 'CH': 52, 'SL': 29, 'FC': 25, 'CU': 17, 'SI': 13, 'FS': 11, 'ST': 9}","{'90-100': 136, '80-90': 135, '<80': 1}",90.21213235294118,99.8,272
2023,2023-03-30,TEX,PHI,"{'FF': 152, 'SL': 72, 'CH': 40, 'SI': 31, 'KC': 20, 'FC': 17, 'CU': 3}","{'90-100': 214, '80-90': 98, '<80': 21, '100+': 2}",91.19701492537314,101.0,335
2023,2023-03-30,WSH,ATL,"{'FF': 72, 'SI': 68, 'FC': 63, 'SL': 60, 'ST': 23, 'CH': 16, 'CU': 12, 'FS': 6}","{'90-100': 137, '80-90': 126, '<80': 57}",87.7975,98.8,320
2023,2023-03-31,HOU,CWS,"{'FF': 112, 'SL': 39, 'SI': 37, 'FC': 37, 'CU': 25, 'CH': 21, 'ST': 9, 'KC': 5}","{'90-100': 160, '80-90': 102, '<80': 23}",89.24631578947368,97.4,285
2023,2023-03-31,LAD,AZ,"{'FF': 92, 'SI': 49, 'SL': 45, 'FC': 32, 'CH': 31, 'CU': 28, 'FS': 7, 'ST': 1}","{'90-100': 166, '80-90': 116, '100+': 2, '<80': 1}",90.87263157894738,100.2,285
2023,2023-03-31,MIA,NYM,"{'SL': 67, 'SI': 64, 'FF': 57, 'CH': 35, 'CU': 8, 'ST': 6, 'FC': 4}","{'90-100': 127, '80-90': 113, '<80': 1}",90.7551867219917,99.3,241
2023,2023-03-31,SD,COL,"{'SI': 69, 'FF': 61, 'CH': 38, 'CU': 30, 'SL': 28, 'FC': 17, 'ST': 12, 'KC': 10, 'FS': 3}","{'80-90': 148, '90-100': 94, '<80': 26}",87.07164179104478,97.6,268
2023,2023-03-31,SEA,CLE,"{'FF': 147, 'SL': 83, 'CH': 43, 'FC': 38, 'SI': 20, 'ST': 10, 'CU': 5, 'FS': 3}","{'90-100': 170, '80-90': 143, '<80': 36}",88.40143266475644,99.4,349
2023,2023-04-01,BOS,BAL,"{'FF': 120, 'FC': 54, 'SI': 47, 'CH': 27, 'SL': 25, 'CU': 22, 'ST': 13, 'FS': 4, 'KC': 2}","{'90-100': 188, '80-90': 95, '<80': 27, '100+': 4}",90.64203821656051,100.4,314
2023,2023-04-01,CHC,MIL,"{'FF': 107, 'SL': 57, 'CH': 44, 'SI': 34, 'FC': 18, 'CU': 17, 'FS': 6, 'ST': 4}","{'90-100': 146, '80-90': 130, '<80': 11}",88.9581881533101,97.3,287
2023,2023-04-01,CIN,PIT,"{'FF': 122, 'CU': 77, 'SL': 30, 'CH': 23, 'ST': 12, 'SI': 9, 'FC': 6, 'FS': 3, 'CS': 1}","{'80-90': 108, '90-100': 99, '<80': 76}",84.70388692579506,97.3,283
2023,2023-04-01,HOU,CWS,"{'FF': 110, 'SL': 67, 'CH': 53, 'SI': 39, 'ST': 32, 'CU': 29, 'FS': 17}","{'80-90': 167, '90-100': 158, '<80': 21, '100+': 1}",88.75821325648414,100.4,347
2023,2023-04-01,KC,MIN,"{'FF': 90, 'CU': 52, 'ST': 41, 'CH': 31, 'SI': 16, 'FC': 14, 'SL': 13, 'KC': 2}","{'80-90': 107, '90-100': 85, '<80': 63, '100+': 4}",86.67142857142858,102.5,259
2023,2023-04-01,LAD,AZ,"{'FF': 88, 'CH': 54, 'SL': 44, 'FC': 33, 'CU': 32, 'SI': 12}","{'80-90': 151, '90-100': 80, '<80': 32}",87.03269961977186,99.8,263
2023,2023-04-01,MIA,NYM,"{'FF': 105, 'SL': 84, 'CH': 43, 'CU': 37, 'SI': 25, 'KC': 14, 'FC': 11, 'ST': 9}","{'90-100': 155, '80-90': 151, '<80': 22}",88.23963414634146,97.4,328
2023,2023-04-01,NYY,SF,"{'SI': 109, 'SL': 66, 'ST': 43, 'FC': 35, 'CH': 29, 'FF': 24, 'FS': 21, 'KC': 14}","{'90-100': 187, '80-90': 148, '<80': 5, '100+': 1}",90.76217008797654,100.2,341
2023,2023-04-01,OAK,LAA,"{'FF': 83, 'SL': 56, 'CH': 35, 'SV': 28, 'FC': 23, 'SI': 21, 'FS': 16, 'CU': 11, 'ST': 8}","{'80-90': 154, '90-100': 113, '<80': 14}",88.04270462633453,99.6,281
2023,2023-04-01,SD,COL,"{'SI': 81, 'CH': 53, 'FF': 47, 'FC': 37, 'SL': 32, 'CU': 15, 'ST': 10}","{'90-100': 130, '80-90': 128, '<80': 17}",88.46545454545455,97.0,275
2023,2023-04-01,SEA,CLE,"{'FF': 84, 'FC': 41, 'SL': 36, 'CU': 30, 'SI': 18, 'KC': 12, 'ST': 11, 'FS': 9, 'CH': 2}","{'80-90': 114, '90-100': 108, '<80': 21}",88.54156378600823,97.4,243
