home_team,game_date,events,hit_location,bb_type,launch_speed,launch_angle,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,babip_value,iso_value
ATL,2023-04-06,53,"{2: 19, 8: 6, 9: 4, 7: 4, 6: 1, 5: 1, 1: 1}","{'line_drive': 7, 'fly_ball': 7, 'ground_ball': 6}","{Interval(0.0, 80.0, closed='right'): 7, Interval(100.0, 110.0, closed='right'): 5, Interval(90.0, 100.0, closed='right'): 3, Interval(80.0, 90.0, closed='right'): 2, Interval(110.0, inf, closed='right'): 2}","{Interval(15.0, 45.0, closed='right'): 12, Interval(0.0, 15.0, closed='right'): 4, Interval(-90.0, -15.0, closed='right'): 2, Interval(-15.0, 0.0, closed='right'): 1, Interval(45.0, inf, closed='right'): 0}",0.682421052631579,0.4872623461538462,33.2,17,15
ATL,2023-04-07,47,"{2: 20, 7: 4, 9: 4, 8: 2, 4: 2}","{'ground_ball': 6, 'line_drive': 5, 'fly_ball': 2}","{Interval(90.0, 100.0, closed='right'): 4, Interval(100.0, 110.0, closed='right'): 3, Interval(110.0, inf, closed='right'): 3, Interval(0.0, 80.0, closed='right'): 2, Interval(80.0, 90.0, closed='right'): 1}","{Interval(15.0, 45.0, closed='right'): 6, Interval(0.0, 15.0, closed='right'): 5, Interval(-15.0, 0.0, closed='right'): 2, Interval(-90.0, -15.0, closed='right'): 0, Interval(45.0, inf, closed='right'): 0}",0.5676153846153846,0.3835668510638298,23.3,12,5
ATL,2023-04-08,46,"{2: 26, 7: 4, 8: 2, 6: 2, 9: 2, 3: 1, 5: 1}","{'line_drive': 6, 'ground_ball': 4, 'fly_ball': 3}","{Interval(0.0, 80.0, closed='right'): 4, Interval(90.0, 100.0, closed='right'): 4, Interval(100.0, 110.0, closed='right'): 3, Interval(80.0, 90.0, closed='right'): 1, Interval(110.0, inf, closed='right'): 1}","{Interval(0.0, 15.0, closed='right'): 5, Interval(15.0, 45.0, closed='right'): 5, Interval(-15.0, 0.0, closed='right'): 2, Interval(-90.0, -15.0, closed='right'): 1, Interval(45.0, inf, closed='right'): 0}",0.5867692307692308,0.2911808913043478,19.1,12,7
ATL,2023-04-09,46,"{2: 17, 8: 6, 9: 5, 7: 3, 1: 1, 5: 1, 3: 1}","{'ground_ball': 9, 'line_drive': 7, 'fly_ball': 5}","{Interval(100.0, 110.0, closed='right'): 9, Interval(0.0, 80.0, closed='right'): 6, Interval(90.0, 100.0, closed='right'): 4, Interval(80.0, 90.0, closed='right'): 2, Interval(110.0, inf, closed='right'): 0}","{Interval(15.0, 45.0, closed='right'): 10, Interval(0.0, 15.0, closed='right'): 6, Interval(-15.0, 0.0, closed='right'): 3, Interval(-90.0, -15.0, closed='right'): 2, Interval(45.0, inf, closed='right'): 0}",0.5478095238095237,0.429244,29.2,18,13
ATL,2023-04-10,50,"{2: 22, 7: 9, 9: 7, 6: 2, 8: 1, 5: 1, 1: 1}","{'ground_ball': 10, 'line_drive': 8, 'fly_ball': 4}","{Interval(100.0, 110.0, closed='right'): 8, Interval(90.0, 100.0, closed='right'): 7, Interval(0.0, 80.0, closed='right'): 3, Interval(80.0, 90.0, closed='right'): 3, Interval(110.0, inf, closed='right'): 1}","{Interval(0.0, 15.0, closed='right'): 9, Interval(15.0, 45.0, closed='right'): 7, Interval(-15.0, 0.0, closed='right'): 5, Interval(-90.0, -15.0, closed='right'): 1, Interval(45.0, inf, closed='right'): 0}",0.5503636363636364,0.35330836,27.2,21,9
ATL,2023-04-11,46,"{2: 16, 9: 5, 7: 4, 8: 4, 6: 2, 4: 1}","{'ground_ball': 9, 'line_drive': 7, 'fly_ball': 3}","{Interval(100.0, 110.0, closed='right'): 8, Interval(90.0, 100.0, closed='right'): 4, Interval(110.0, inf, closed='right'): 4, Interval(0.0, 80.0, closed='right'): 2, Interval(80.0, 90.0, closed='right'): 1}","{Interval(0.0, 15.0, closed='right'): 10, Interval(15.0, 45.0, closed='right'): 5, Interval(-90.0, -15.0, closed='right'): 2, Interval(-15.0, 0.0, closed='right'): 2, Interval(45.0, inf, closed='right'): 0}",0.6457368421052632,0.5043028913043478,29.5,16,13
ATL,2023-04-12,49,"{2: 28, 7: 6, 9: 5, 8: 3}","{'line_drive': 7, 'ground_ball': 6, 'fly_ball': 2}","{Interval(90.0, 100.0, closed='right'): 5, Interval(100.0, 110.0, closed='right'): 5, Interval(0.0, 80.0, closed='right'): 4, Interval(80.0, 90.0, closed='right'): 1, Interval(110.0, inf, closed='right'): 0}","{Interval(0.0, 15.0, closed='right'): 6, Interval(15.0, 45.0, closed='right'): 6, Interval(-15.0, 0.0, closed='right'): 3, Interval(-90.0, -15.0, closed='right'): 0, Interval(45.0, inf, closed='right'): 0}",0.5877333333333333,0.26849832653061223,20.2,14,7
ATL,2023-04-21,45,"{2: 20, 7: 7, 8: 5, 9: 5}","{'line_drive': 12, 'fly_ball': 3, 'ground_ball': 3}","{Interval(100.0, 110.0, closed='right'): 8, Interval(90.0, 100.0, closed='right'): 4, Interval(80.0, 90.0, closed='right'): 3, Interval(110.0, inf, closed='right'): 2, Interval(0.0, 80.0, closed='right'): 1}","{Interval(15.0, 45.0, closed='right'): 10, Interval(0.0, 15.0, closed='right'): 7, Interval(-15.0, 0.0, closed='right'): 1, Interval(-90.0, -15.0, closed='right'): 0, Interval(45.0, inf, closed='right'): 0}",0.614388888888889,0.3981849111111111,24.65,17,10
ATL,2023-04-22,39,"{2: 19, 8: 5, 7: 4, 9: 3, 1: 1, 6: 1, 5: 1}","{'ground_ball': 10, 'fly_ball': 5, 'line_drive': 4}","{Interval(0.0, 80.0, closed='right'): 6, Interval(100.0, 110.0, closed='right'): 5, Interval(90.0, 100.0, closed='right'): 4, Interval(110.0, inf, closed='right'): 3, Interval(80.0, 90.0, closed='right'): 1}","{Interval(15.0, 45.0, closed='right'): 8, Interval(0.0, 15.0, closed='right'): 6, Interval(-15.0, 0.0, closed='right'): 3, Interval(-90.0, -15.0, closed='right'): 2, Interval(45.0, inf, closed='right'): 0}",0.5698947368421052,0.37120264102564104,22.2,15,12
ATL,2023-04-23,44,"{2: 24, 7: 5, 9: 3, 8: 1, 5: 1}","{'line_drive': 6, 'ground_ball': 5, 'fly_ball': 1}","{Interval(100.0, 110.0, closed='right'): 4, Interval(0.0, 80.0, closed='right'): 3, Interval(80.0, 90.0, closed='right'): 3, Interval(90.0, 100.0, closed='right'): 2, Interval(110.0, inf, closed='right'): 0}","{Interval(0.0, 15.0, closed='right'): 5, Interval(15.0, 45.0, closed='right'): 5, Interval(-90.0, -15.0, closed='right'): 1, Interval(-15.0, 0.0, closed='right'): 1, Interval(45.0, inf, closed='right'): 0}",0.6206666666666666,0.3133005454545455,18.55,11,6
